	belief	argument	label	gold_graph	id	linked_paths	generated_graph_linked	generated_graph_gold	retrieved_graph
331	Cosmetic surgery is bad for the brain.	Self image health is subjective and cosmetic surgery has little impact.	counter	[['better self image', 'part of', 'self image health'], ['better self image', 'is not a', 'bad'], ['better self image', 'has property', 'better thoughts'], ['disfigured people', 'receives action', 'cosmetic surgery'], ['cosmetic surgery', 'capable of', 'looking more normal'], ['looking more normal', 'causes', 'better self image'], ['better thoughts', 'has context', 'brain']]	3578	[['image', 'capableof', 'see'], ['see', '_desires', 'person'], ['person', 'notdesires', 'bad']]	[['image', '_isa', 'picture'], ['picture', 'hasproperty', 'bad']]	[['better self image', '_causes', 'improving image'], ['improving image', 'hasprerequisite', 'brain']]	[['surgery', 'isa', 'artifact'], ['artifact', '_partof', 'plant'], ['plant', '_isa', 'henna'], ['henna', 'isa', 'cosmetic']]
349	Missionary work is exploitative.	Missionary work takes advantage of local populations.	support	[['local populations', 'not desires', 'exploitative'], ['exploitative', 'synonym of', 'takes advantage'], ['takes advantage', 'has property', 'ethical violations'], ['ethical violations', 'created by', 'missionary work']]	1229	[['populations', '_hasa', 'countries'], ['countries', '_atlocation', 'world'], ['world', '_desires', 'person'], ['person', '_isa', 'missionary']]	[['populations', '_hasa', '', '_hascontext', 'missionary']]	[['local populations', '_usedfor', 'population'], ['population', 'isa', 'missionary work']]	[['missionary', 'isa', 'worker'], ['worker', 'atlocation', 'work']]
1926	We don't need a gender neutral language just because some people don't like their birth given gender.	It's important that people have the right words to express themselves so gender neutral language is necessary.	counter	[['gender neutral language', 'capable of', 'necessary'], ['express themselves', 'has context', 'necessary'], ['gender neutral language', 'used for', 'express themselves'], ['birth given gender', 'not capable of', 'express themselves']]	2806	[['words', 'atlocation', 'sentence'], ['sentence', 'hascontext', 'grammar'], ['grammar', '_hascontext', 'gender_neutral']]	[['words', 'hasproperty', 'gender neutral']]	[['gender neutral language', '_isa', 'english language _language people'], ['english language _language people', 'capableof', 'express themselves']]	[['gender', '_hascontext', 'biosex'], ['biosex', 'hascontext', 'biology'], ['biology', '_hascontext', 'neutral']]
533	children need a zero tolerance policy in schools.	Children would behave better with zero tolerance.	support	[['behave better', 'has context', 'schools'], ['schools', 'desires', 'discipline'], ['discipline', 'created by', 'zero tolerance'], ['zero tolerance', 'used for', 'poor behavior'], ['children', 'has property', 'need consequences'], ['need consequences', 'has context', 'boundaries'], ['poor behavior', 'has context', 'children']]	1413	[['behave', '_hassubevent', 'pleasing_parents'], ['pleasing_parents', 'usedfor', 'children'], ['children', 'atlocation', 'school']]	[['behave', '_hassubevent', 'love another'], ['love another', 'hasprerequisite', '', '_usedfor', 'school']]	[['behave better', '_hassubevent', 'loving else'], ['loving else', 'causes', 'children']]	[['tolerance', '_hasprerequisite', 'drinking'], ['drinking', '_causes', 'celebrating'], ['celebrating', 'hassubevent', 'happy'], ['happy', '_motivatedbygoal', 'please_parents'], ['please_parents', 'hasprerequisite', 'behave']]
210	Women should be allowed in combat.	Not every women wants to be in combat, but some do.	support	[['women', 'capable of', 'armed service'], ['armed service', 'synonym of', 'combat'], ['armed service', 'desires', 'equality']]	1090	[['every_woman', 'hasa', 'vanity_case'], ['vanity_case', 'atlocation', 'airplane'], ['airplane', '_hasprerequisite', 'flying_in_airplane'], ['flying_in_airplane', 'usedfor', 'combat']]	[['every woman', 'hasa', '', '_desires', '', '_isa', 'combat']]	[['women', 'capableof', '', '_hassubevent', 'getting divorce'], ['getting divorce', 'usedfor', 'equality']]	-1
390	Factory farming is good.	It is good for food production to increase.	support	[['factory farming', 'used for', 'food production'], ['food production', 'used for', 'people'], ['people', 'desires', 'good'], ['good', 'used for', 'food']]	1270	[['food_production', '_usedfor', 'farmland'], ['farmland', 'atlocation', 'country'], ['country', '_atlocation', 'human'], ['human', 'hasproperty', 'good']]	[['food production', '_usedfor', 'industry'], ['industry', 'hasproperty', 'good']]	[['factory farming', 'isa', '', '_usedfor', 'corn'], ['corn', 'atlocation', 'food']]	[['farming', '_causes', 'growing_vegetables'], ['growing_vegetables', 'usedfor', 'health'], ['health', 'hasproperty', 'good']]
544	Holocaust denial needs to be stopped.	Holocaust denial is deeply dangerous.	support	[['holocaust denial', 'part of', 'harmful'], ['harmful', 'synonym of', 'dangerous'], ['dangerous', 'receives action', 'stopped']]	1424	[['dangerousest', 'hascontext', 'nonstandard'], ['nonstandard', '_hascontext', 'assassin'], ['assassin', 'hascontext', 'historical'], ['historical', '_hascontext', 'holocaust']]	[['dangerousest', '_hasproperty', '', '_hascontext', 'holocaust']]	[['holocaust denial', 'isa', '', '_hasprerequisite', 'stopping being married to'], ['stopping being married to', 'causes', 'stopped']]	[['denial', 'hascontext', 'logic'], ['logic', '_hascontext', 'en'], ['en', 'hascontext', 'historical'], ['historical', '_hascontext', 'holocaust']]
75	The information about atheism is a fact.	There is an unknown information about atheism given out the community to reduce awareness.	counter	[['unknown information', 'used for', 'atheism'], ['atheism', 'receives action', 'given to community'], ['given to community', 'capable of', 'reduce awareness'], ['reduce awareness', 'capable of', 'brainwash people'], ['brainwash people', 'causes', 'misunderstand'], ['misunderstand', 'has context', 'information about atheism'], ['information about atheism', 'is not a', 'truth']]	3322	[['community', '_atlocation', 'church'], ['church', 'hascontext', 'historical'], ['historical', '_hascontext', 'atheism']]	[['community', '_partof', '', '_hascontext', 'atheism']]	[['unknown information', 'causesdesire', 'discover truth'], ['discover truth', 'hasprerequisite', '', '_capableof', 'truth']]	[['information', '_isa', 'facts'], ['facts', '_hassubevent', 'learning_about_science'], ['learning_about_science', 'causes', 'atheism']]
2052	Stay at home Dad has a reason for staying home	Stay at home dad has no value to the economy of a country	counter	[['dad', 'receives action', 'staying home'], ['no paid work', 'has context', 'has no value'], ['has no value', 'has context', 'no economic value'], ['no economic value', 'has context', 'he should work'], ['staying home', 'has property', 'no paid work'], ['he should work', 'antonym of', 'stay at home']]	2932	[['economy', '_causes', 'buying_small'], ['buying_small', 'hasprerequisite', 'money'], ['money', 'causesdesire', 'do_housework'], ['do_housework', 'hasprerequisite', 'stay_home']]	[['economy', '_hascontext', 'stay home']]	[['dad', 'capableof', 'stay at home']]	[['dad', 'isa', 'person'], ['person', 'desires', 'move'], ['move', '_distinctfrom', 'stay']]
264	If entrapment is legalized people will have less trust in police.	Entrapment could be legalized as a means of enabling police to produce evidence.	counter	[['police', 'used for', 'crime prevention'], ['beneficial to society', 'desires', 'legalized'], ['crime prevention', 'desires', 'evidence'], ['evidence', 'created by', 'entrapment'], ['crime prevention', 'desires', 'criminals caught'], ['criminals caught', 'created by', 'entrapment'], ['entrapment', 'is a', 'beneficial to society']]	3511	[['evidence', 'hascontext', 'legal'], ['legal', '_hascontext', 'entrapment']]	[['evidence', '_isa', 'entrapment']]	[['police', 'hasproperty', 'beneficial to society']]	[['entrapment', 'hascontext', 'legal'], ['legal', '_hascontext', 'arrest'], ['arrest', '_capableof', 'police']]
163	Killing is wrong.	There is not a circumstance where killing is truly a moral outcome.	support	[['killing', 'not causes', 'moral outcome'], ['moral outcome', 'not desires', 'wrong'], ['killing', 'is a', 'circumstance'], ['circumstance', 'desires', 'positive outcomes'], ['targeted killings', 'has context', 'state sanctioned murder'], ['killing', 'has context', 'targeted killings'], ['wrong', 'is not a', 'positive outcomes'], ['state sanctioned murder', 'not capable of', 'positive outcomes']]	1043	[['moral', '_desires', 'person'], ['person', 'desires', 'justice'], ['justice', '_usedfor', 'killing']]	[['moral', '_hasproperty', 'killing']]	[['killing', 'hassubevent', 'positive outcomes']]	[['killing', 'usedfor', 'justice'], ['justice', '_desires', 'person'], ['person', 'desires', 'moral']]
539	School prayer should be banned.	US values and history are steeped in Christianity.	counter	[['values and history', 'has context', 'christianity'], ['christianity', 'has context', 'religion'], ['school prayer', 'part of', 'religion'], ['religion', 'not desires', 'banned']]	1419	[['values', '_hasa', 'everyone'], ['everyone', 'capableof', 'learn'], ['learn', '_usedfor', 'church'], ['church', '_atlocation', 'prayer']]	[['values', '_hasa', '', '_usedfor', 'praying'], ['praying', 'causes', 'prayer']]	[['values and history', '_hasa', '', '_atlocation', 'cannonball'], ['cannonball', 'hascontext', 'banned']]	[['prayer', 'atlocation', 'church'], ['church', 'usedfor', 'learn'], ['learn', '_capableof', 'everyone'], ['everyone', 'hasa', 'values']]
158	the olympic games should stay.	The olympic games bring people together.	support	[['the olympic games', 'is a', 'worldwide ceremony'], ['worldwide ceremony', 'used for', 'bring people together'], ['worldwide ceremony', 'receives action', 'stay']]	1038	[['people', 'atlocation', 'audience'], ['audience', 'hascontext', 'historical'], ['historical', '_hascontext', 'olympic_games']]	[['people', 'atlocation', 'olympic games']]	[['the olympic games', '_usedfor', '', '_atlocation', 'stay']]	[['games', 'atlocation', 'carnival'], ['carnival', '_atlocation', 'people']]
2251	The three strikes law should remain, because it is a good deterrent for minor criminals who don't want severe consequences.	Life in prison is a deterrent.	support	[['life in prison', 'is a', 'deterrent'], ['life in prison', 'has context', 'severe consequences'], ['three strikes law', 'capable of', 'is a deterrent'], ['life in prison', 'part of', 'three strikes law']]	3131	[['life', 'distinctfrom', 'dead'], ['dead', 'hascontext', 'legal'], ['legal', '_hascontext', 'three_strikes']]	[['life', '_usedfor', 'fighting war'], ['fighting war', 'hassubevent', 'three strikes']]	[['life in prison', '_causes', 'killing'], ['killing', 'hasprerequisite', 'three strikes law']]	[['strikes', '_causes', 'playing_baseball'], ['playing_baseball', 'causes', 'fun'], ['fun', 'partof', 'life']]
1535	Targeted killing should not be banned.	Targeted killing focuses on terrible people.	support	[['targeted killing', 'used for', 'terrible people'], ['terrible people', 'has property', 'targeted killing justified'], ['targeted killing justified', 'not desires', 'banned']]	2415	[['terrible', '_hasproperty', 'war'], ['war', '_isa', 'person'], ['person', 'notdesires', 'target']]	[['terrible', '_hasproperty', '', '_atlocation', 'target']]	[['targeted killing', 'isa', 'killing'], ['killing', 'hasprerequisite', 'weapons'], ['weapons', 'receivesaction', 'banned']]	[['killing', 'atlocation', 'war'], ['war', 'hasproperty', 'terrible']]
1675	IQ tests give a general idea of IQ or a starting point to evaluate someone's IQ.	IQ tests are can not be considered accurate because someone can have a skill set that isn't on the test.	counter	"[['skill set', 'not has subevent', 'on the test'], ['skill set', 'not used for', ""someone's iq""], ['iq tests', 'not capable of', 'considered accurate'], [""someone's iq"", 'not capable of', 'considered accurate']]"	2555	[['accurate', '_hassubevent', 'expressing_information'], ['expressing_information', 'causes', 'communication'], ['communication', 'isa', 'photography'], ['photography', '_hascontext', 'iq']]	[['accurate', '_hasproperty', 'statistics _hascontextiq']]	[['skill set', '_hasprerequisite', 'playing poker'], ['playing poker', 'hassubevent', '', '_hasproperty', 'considered accurate']]	[['iq', 'hascontext', 'photography'], ['photography', '_isa', 'communication'], ['communication', '_causes', 'creating_art'], ['creating_art', 'hasprerequisite', 'skill']]
52	Entrapment by law enforcement is a controlled way to catch criminals.	Entrapment is coercive and may catch people who would not otherwise have offended	counter	[['entrapment', 'is a', 'coercive'], ['entrapment', 'created by', 'law enforcement'], ['coercive', 'capable of', 'catch people'], ['catch people', 'has property', 'not otherwise offended'], ['not otherwise offended', 'causes', 'uncontrolled way'], ['uncontrolled way', 'antonym of', 'controlled way'], ['controlled way', 'used for', 'catch criminals']]	3299	[['otherwise', '_distinctfrom', 'also'], ['also', '_hascontext', 'hitherto'], ['hitherto', 'hascontext', 'legal'], ['legal', '_hascontext', 'entrapment']]	[['otherwise', '_distinctfrom', '', '_distinctfrom', 'he'], ['he', 'hascontext', 'entrapment']]	[['entrapment', '_usedfor', 'john'], ['john', 'capableof', 'catch criminals']]	[['entrapment', 'hascontext', 'legal'], ['legal', 'hascontext', 'us'], ['us', '_hascontext', 'catcher'], ['catcher', 'capableof', 'catch']]
1471	algorithmic trading is not fair.	Many people have done well with algorithmic trading.	counter	[['algorithmic trading', 'capable of', 'done well'], ['done well', 'has context', 'fair'], ['many people', 'part of', 'algorithmic trading']]	2351	[['many_people', 'desires', 'play_games'], ['play_games', '_causes', 'getting_onto_web'], ['getting_onto_web', 'usedfor', 'trading']]	[['many people', 'hasproperty', 'dishonest'], ['dishonest', 'hascontext', 'trading']]	[['algorithmic trading', '_isa', 'algorithmic trading']]	[['trading', '_hascontext', 'job'], ['job', '_isa', 'police'], ['police', 'isa', 'people']]
800	Payday loans give you quick money if you need it, even if you don't have a good credit score	Poor people have money emergencies.	support	[['payday loans', 'used for', 'money emergencies'], ['money emergencies', 'not created by', 'good credit score'], ['good credit score', 'not part of', 'poor people']]	1680	[['emergencies', '_notdesires', 'person'], ['person', 'desires', 'good_credit']]	[['emergencies', '_causes', 'paying bills'], ['paying bills', 'hasprerequisite', 'good credit']]	[['payday loans', '_usedfor', 'getting money from'], ['getting money from', 'causes', 'poor people']]	[['payday', 'isa', 'candy'], ['candy', '_isa', 'chocolate'], ['chocolate', 'hasproperty', 'good'], ['good', '_distinctfrom', 'poor']]
1631	Libertarianism increases consumer spending with lowered taxes.	Society needs more taxes and libertarianism is not efficient.	counter	[['libertarianism', 'has context', 'not efficient'], ['lowered taxes', 'has context', 'not efficient'], ['libertarians', 'desires', 'lowered taxes']]	2511	[['society', '_partof', 'person'], ['person', 'isa', 'philosophy'], ['philosophy', '_hascontext', 'libertarianism']]	[['society', '_isa', 'libertarianism']]	[['libertarianism', 'hascontext', '', '_atlocation', 'party'], ['party', 'usedfor', 'lowered taxes']]	[['libertarianism', 'hascontext', 'philosophy'], ['philosophy', '_isa', 'person'], ['person', 'notdesires', 'taxes']]
1917	A judge needs to follow the law, no matter what their opinion is on a subject.	If a judge disagrees with a law, it is okay to interpret it in a new way.	counter	[['judge', 'capable of', 'disagrees with law'], ['disagrees with law', 'causes', 'interpret it'], ['interpret it', 'capable of', 'new way'], ['interpret it', 'created by', 'opinion']]	2797	[['disagree', 'distinctfrom', 'agree'], ['agree', '_capableof', 'people'], ['people', 'capableof', 'judge']]	[['disagree', '_hassubevent', 'judge']]	[['judge', '_capableof', 'opinion']]	[['opinion', '_isa', 'beauty'], ['beauty', '_notdesires', 'person'], ['person', 'capableof', 'judge']]
1047	Foster care gives children other parents	We can't consider foster care new parent because intentions are not known yet	counter	[['other parents', 'synonym of', 'new parent'], ['new parent', 'has property', 'intentions are known'], ['intentions are known', 'not created by', 'foster care'], ['foster care', 'has property', 'temporary and unpredictable'], ['temporary and unpredictable', 'not desires', 'consider foster care']]	1927	[['new', '_desires', 'person'], ['person', 'desires', 'parents']]	[['new', '_distinctfrom', '', '_hasproperty', 'parents']]	[['other parents', '_motivatedbygoal', 'start family'], ['start family', 'hasprerequisite', 'consider foster care']]	[['parents', '_desires', 'person'], ['person', 'desires', 'care']]
937	People should be free to use alternative health care.	If alternative medicine is proven to be harmful then it should absolutely be restricted.	counter	[['alternative medicine', 'has property', 'side effect'], ['side effect', 'part of', 'harmful'], ['harmful', 'not receives action', 'free to use'], ['harmful', 'part of', 'alternative health care']]	1817	[['alternative_medicine', '_hascontext', 'aromatherapy'], ['aromatherapy', 'isa', 'alternative_medical_care'], ['alternative_medical_care', 'isa', 'health_care']]	[['alternative medicine', '_hascontext', 'health care']]	[['alternative medicine', '_isa', 'alternative health care']]	[['free', '_hasproperty', 'gift'], ['gift', 'hascontext', 'medicine']]
154	local economies will benefit the most from the Olympic games' vast investment.	more traffic will be created in local economies.	counter	[['local economies', 'not desires', 'more traffic'], ['more traffic', 'created by', 'olympic games'], ['olympic games', 'not causes', 'augment roads infrastructure'], ['augment roads infrastructure', 'not part of', 'vast investment'], ['vast investment', 'has context', 'global over local'], ['global over local', 'is not a', 'benefit']]	1034	[['traffic', '_hassubevent', 'going_to_work'], ['going_to_work', '_usedfor', 'taking_bus'], ['taking_bus', 'usedfor', 'economy']]	[['traffic', 'atlocation', '', '_isa', 'bank'], ['bank', 'hascontext', 'economy']]	[['local economies', '_causes', 'making better world'], ['making better world', 'usedfor', 'benefit']]	[['benefit', '_usedfor', 'improving_yourself'], ['improving_yourself', 'causes', 'happiness'], ['happiness', '_causes', 'going_to_performance'], ['going_to_performance', 'causes', 'traffic']]
255	Marriage does not mean much.	Marriage is the backbone of society.	counter	[['marriage', 'is a', 'legal union'], ['legal union', 'used for', 'people join together'], ['people join together', 'causes', 'stable families'], ['backbone of society', 'antonym of', 'not mean much'], ['stable families', 'causes', 'backbone of society']]	3502	[['society', '_atlocation', 'human'], ['human', 'atlocation', 'love'], ['love', 'atlocation', 'marriage']]	[['society', '_atlocation', 'marriage']]	[['marriage', '_usedfor', 'backbone of society']]	[['marriage', '_atlocation', 'companionship'], ['companionship', '_usedfor', 'cat'], ['cat', 'hasa', 'four_legs'], ['four_legs', '_hasa', 'lizards'], ['lizards', 'hasa', 'backbone']]
66	Atheism should be adopted.	Not everyone believes in atheism.	counter	[['not everyone', 'desires', 'believes'], ['believes', 'has context', 'atheism'], ['atheism', 'not has property', 'popular'], ['popular', 'not desires', 'adopted']]	3313	[['everyone', 'capableof', 'do_well'], ['do_well', '_capableof', 'students'], ['students', '_usedfor', 'learning_about_science'], ['learning_about_science', 'causes', 'atheism']]	[['everyone', 'hasproperty', '', '_distinctfrom', 'atheism']]	[['not everyone', 'hasa', 'parents'], ['parents', 'capableof', 'adopted']]	-1
906	telemarketing only cause disturbance to others	Telemarketing is one of the best way of advertising which is inevitable as people like it.	counter	[['telemarketing', 'not causes', 'distraction'], ['distraction', 'created by', 'advertising'], ['advertising', 'not causes', 'disturbance'], ['disturbance', 'used for', 'people']]	1786	[['advertise', '_capableof', 'newspaper'], ['newspaper', '_atlocation', 'ad'], ['ad', 'hascontext', 'slang'], ['slang', '_hascontext', 'cause']]	[['advertise', '_hassubevent', 'selling new book'], ['selling new book', 'causes', 'stress'], ['stress', 'isa', 'cause']]	[['telemarketing', '_hascontext', 'people']]	[['disturbance', 'hascontext', 'psychology'], ['psychology', 'hascontext', 'person'], ['person', '_hasa', 'people']]
7	entrapment is efficient.	Entrapment catches criminals.	support	[['criminals', 'has property', 'sneaky'], ['sneaky', 'not desires', 'law enforcement'], ['law enforcement', 'capable of', 'entrapment'], ['entrapment', 'used for', 'catching criminals'], ['catching criminals', 'part of', 'efficient']]	3254	[['criminals', 'atlocation', 'jail'], ['jail', '_atlocation', 'convict'], ['convict', 'hascontext', 'legal'], ['legal', '_hascontext', 'entrapment']]	[['criminals', '_usedfor', 'committing murder'], ['committing murder', 'causes', 'entrapment']]	[['criminals', 'hasproperty', 'inefficient']]	-1
1137	It is not wise to get a cosmetic procedure when you are a teenager.	Teenagers are old enough to know who they are and what they want.	counter	[['teenager', 'capable of', 'decision'], ['decision', 'used for', 'what they want'], ['what they want', 'part of', 'cosmetic procedure'], ['cosmetic procedure', 'used for', 'teenagers']]	2017	[['teenagers', '_usedfor', 'acne_medication'], ['acne_medication', 'isa', 'medicine'], ['medicine', '_hascontext', 'procedure']]	[['teenagers', 'atlocation', 'party'], ['party', 'usedfor', 'procedure']]	[['teenager', '_isa', 'teenager']]	[['procedure', 'hascontext', 'medicine'], ['medicine', '_isa', 'acne_medication'], ['acne_medication', 'usedfor', 'teenagers']]
550	School prayer should be allowed.	If people want to pray in school, there is nothing wrong with that.	support	[['school prayer', 'is a', 'choice'], ['choice', 'created by', 'people'], ['people', 'capable of', 'decision'], ['decision', 'part of', 'want to pray'], ['want to pray', 'receives action', 'should be allowed']]	1430	[['pray', '_haslastsubevent', 'take_midterm'], ['take_midterm', '_causesdesire', 'school']]	[['pray', '_usedfor', 'school']]	[['school prayer', '_usedfor', '', '_atlocation', 'churchyard'], ['churchyard', 'usedfor', 'should be allowed']]	[['prayer', 'atlocation', 'church'], ['church', '_atlocation', 'human'], ['human', 'capableof', 'write'], ['write', 'distinctfrom', 'wrong']]
582	We should avoid discussing religion in schools.	Some schools are religious in nature, and have regular discussions on the topic.	counter	[['schools', 'is a', 'religious in nature'], ['religious in nature', 'capable of', 'regular discussions'], ['regular discussions', 'not desires', 'avoid discussing']]	1462	[['religious', '_motivatedbygoal', 'pray'], ['pray', '_haslastsubevent', 'take_midterm'], ['take_midterm', '_causesdesire', 'school'], ['school', 'hasa', 'classrooms'], ['classrooms', 'isa', 'in_schools']]	[['religious', '_hasproperty', 'in schools']]	[['schools', '_atlocation', 'locker room'], ['locker room', 'usedfor', '', '_hasprerequisite', 'avoid discussing']]	[['religion', 'isa', 'person'], ['person', 'desires', 'study'], ['study', 'atlocation', 'schools']]
970	Telemarketers should be banned.	People often have pay-as-you-go phone plans and end up paying for telemarketing from their own pockets.	support	[['telemarketers', 'part of', 'scammers'], ['scammers', 'causes', 'paying for telemarketing'], ['paying for telemarketing', 'used for', 'individual'], ['individual', 'made of', 'people'], ['paying for telemarketing', 'receives action', 'banned']]	1850	[['phone', 'atlocation', 'desk'], ['desk', '_atlocation', 'worker'], ['worker', '_isa', 'telemarketer']]	[['phone', '_atlocation', 'telemarketer']]	[['telemarketers', 'capableof', '', '_usedfor', 'advertisement'], ['advertisement', 'receivesaction', 'banned']]	-1
