	belief	argument	label	gold_graph	generated_graph	retrieved_graph
1926	We don't need a gender neutral language just because some people don't like their birth given gender.	It's important that people have the right words to express themselves so gender neutral language is necessary.	counter	[['gender neutral language', 'capable of', 'necessary'], ['express themselves', 'has context', 'necessary'], ['gender neutral language', 'used for', 'express themselves'], ['birth given gender', 'not capable of', 'express themselves']]	[['gender neutral language', '_isa', 'english language _language people'], ['english language _language people', 'capableof', 'express themselves']]	[['gender', '_hascontext', 'biosex'], ['biosex', 'hascontext', 'biology'], ['biology', '_hascontext', 'neutral']]
533	children need a zero tolerance policy in schools.	Children would behave better with zero tolerance.	support	[['behave better', 'has context', 'schools'], ['schools', 'desires', 'discipline'], ['discipline', 'created by', 'zero tolerance'], ['zero tolerance', 'used for', 'poor behavior'], ['children', 'has property', 'need consequences'], ['need consequences', 'has context', 'boundaries'], ['poor behavior', 'has context', 'children']]	[['behave better', '_hassubevent', 'loving else'], ['loving else', 'causes', 'children']]	[['tolerance', '_hasprerequisite', 'drinking'], ['drinking', '_causes', 'celebrating'], ['celebrating', 'hassubevent', 'happy'], ['happy', '_motivatedbygoal', 'please_parents'], ['please_parents', 'hasprerequisite', 'behave']]
210	Women should be allowed in combat.	Not every women wants to be in combat, but some do.	support	[['women', 'capable of', 'armed service'], ['armed service', 'synonym of', 'combat'], ['armed service', 'desires', 'equality']]	[['women', 'capableof', '', '_hassubevent', 'getting divorce'], ['getting divorce', 'usedfor', 'equality']]	-1
390	Factory farming is good.	It is good for food production to increase.	support	[['factory farming', 'used for', 'food production'], ['food production', 'used for', 'people'], ['people', 'desires', 'good'], ['good', 'used for', 'food']]	[['factory farming', 'isa', '', '_usedfor', 'corn'], ['corn', 'atlocation', 'food']]	[['farming', '_causes', 'growing_vegetables'], ['growing_vegetables', 'usedfor', 'health'], ['health', 'hasproperty', 'good']]
544	Holocaust denial needs to be stopped.	Holocaust denial is deeply dangerous.	support	[['holocaust denial', 'part of', 'harmful'], ['harmful', 'synonym of', 'dangerous'], ['dangerous', 'receives action', 'stopped']]	[['holocaust denial', 'isa', '', '_hasprerequisite', 'stopping being married to'], ['stopping being married to', 'causes', 'stopped']]	[['denial', 'hascontext', 'logic'], ['logic', '_hascontext', 'en'], ['en', 'hascontext', 'historical'], ['historical', '_hascontext', 'holocaust']]
75	The information about atheism is a fact.	There is an unknown information about atheism given out the community to reduce awareness.	counter	[['unknown information', 'used for', 'atheism'], ['atheism', 'receives action', 'given to community'], ['given to community', 'capable of', 'reduce awareness'], ['reduce awareness', 'capable of', 'brainwash people'], ['brainwash people', 'causes', 'misunderstand'], ['misunderstand', 'has context', 'information about atheism'], ['information about atheism', 'is not a', 'truth']]	[['unknown information', 'causesdesire', 'discover truth'], ['discover truth', 'hasprerequisite', '', '_capableof', 'truth']]	[['information', '_isa', 'facts'], ['facts', '_hassubevent', 'learning_about_science'], ['learning_about_science', 'causes', 'atheism']]
2052	Stay at home Dad has a reason for staying home	Stay at home dad has no value to the economy of a country	counter	[['dad', 'receives action', 'staying home'], ['no paid work', 'has context', 'has no value'], ['has no value', 'has context', 'no economic value'], ['no economic value', 'has context', 'he should work'], ['staying home', 'has property', 'no paid work'], ['he should work', 'antonym of', 'stay at home']]	[['dad', 'capableof', 'stay at home']]	[['dad', 'isa', 'person'], ['person', 'desires', 'move'], ['move', '_distinctfrom', 'stay']]
264	If entrapment is legalized people will have less trust in police.	Entrapment could be legalized as a means of enabling police to produce evidence.	counter	[['police', 'used for', 'crime prevention'], ['beneficial to society', 'desires', 'legalized'], ['crime prevention', 'desires', 'evidence'], ['evidence', 'created by', 'entrapment'], ['crime prevention', 'desires', 'criminals caught'], ['criminals caught', 'created by', 'entrapment'], ['entrapment', 'is a', 'beneficial to society']]	[['police', 'hasproperty', 'beneficial to society']]	[['entrapment', 'hascontext', 'legal'], ['legal', '_hascontext', 'arrest'], ['arrest', '_capableof', 'police']]
163	Killing is wrong.	There is not a circumstance where killing is truly a moral outcome.	support	[['killing', 'not causes', 'moral outcome'], ['moral outcome', 'not desires', 'wrong'], ['killing', 'is a', 'circumstance'], ['circumstance', 'desires', 'positive outcomes'], ['targeted killings', 'has context', 'state sanctioned murder'], ['killing', 'has context', 'targeted killings'], ['wrong', 'is not a', 'positive outcomes'], ['state sanctioned murder', 'not capable of', 'positive outcomes']]	[['killing', 'hassubevent', 'positive outcomes']]	[['killing', 'usedfor', 'justice'], ['justice', '_desires', 'person'], ['person', 'desires', 'moral']]
539	School prayer should be banned.	US values and history are steeped in Christianity.	counter	[['values and history', 'has context', 'christianity'], ['christianity', 'has context', 'religion'], ['school prayer', 'part of', 'religion'], ['religion', 'not desires', 'banned']]	[['values and history', '_hasa', '', '_atlocation', 'cannonball'], ['cannonball', 'hascontext', 'banned']]	[['prayer', 'atlocation', 'church'], ['church', 'usedfor', 'learn'], ['learn', '_capableof', 'everyone'], ['everyone', 'hasa', 'values']]
158	the olympic games should stay.	The olympic games bring people together.	support	[['the olympic games', 'is a', 'worldwide ceremony'], ['worldwide ceremony', 'used for', 'bring people together'], ['worldwide ceremony', 'receives action', 'stay']]	[['the olympic games', '_usedfor', '', '_atlocation', 'stay']]	[['games', 'atlocation', 'carnival'], ['carnival', '_atlocation', 'people']]
2251	The three strikes law should remain, because it is a good deterrent for minor criminals who don't want severe consequences.	Life in prison is a deterrent.	support	[['life in prison', 'is a', 'deterrent'], ['life in prison', 'has context', 'severe consequences'], ['three strikes law', 'capable of', 'is a deterrent'], ['life in prison', 'part of', 'three strikes law']]	[['life in prison', '_causes', 'killing'], ['killing', 'hasprerequisite', 'three strikes law']]	[['strikes', '_causes', 'playing_baseball'], ['playing_baseball', 'causes', 'fun'], ['fun', 'partof', 'life']]
1535	Targeted killing should not be banned.	Targeted killing focuses on terrible people.	support	[['targeted killing', 'used for', 'terrible people'], ['terrible people', 'has property', 'targeted killing justified'], ['targeted killing justified', 'not desires', 'banned']]	[['targeted killing', 'isa', 'killing'], ['killing', 'hasprerequisite', 'weapons'], ['weapons', 'receivesaction', 'banned']]	[['killing', 'atlocation', 'war'], ['war', 'hasproperty', 'terrible']]
1675	IQ tests give a general idea of IQ or a starting point to evaluate someone's IQ.	IQ tests are can not be considered accurate because someone can have a skill set that isn't on the test.	counter	"[['skill set', 'not has subevent', 'on the test'], ['skill set', 'not used for', ""someone's iq""], ['iq tests', 'not capable of', 'considered accurate'], [""someone's iq"", 'not capable of', 'considered accurate']]"	[['skill set', '_hasprerequisite', 'playing poker'], ['playing poker', 'hassubevent', '', '_hasproperty', 'considered accurate']]	[['iq', 'hascontext', 'photography'], ['photography', '_isa', 'communication'], ['communication', '_causes', 'creating_art'], ['creating_art', 'hasprerequisite', 'skill']]
52	Entrapment by law enforcement is a controlled way to catch criminals.	Entrapment is coercive and may catch people who would not otherwise have offended	counter	[['entrapment', 'is a', 'coercive'], ['entrapment', 'created by', 'law enforcement'], ['coercive', 'capable of', 'catch people'], ['catch people', 'has property', 'not otherwise offended'], ['not otherwise offended', 'causes', 'uncontrolled way'], ['uncontrolled way', 'antonym of', 'controlled way'], ['controlled way', 'used for', 'catch criminals']]	[['entrapment', '_usedfor', 'john'], ['john', 'capableof', 'catch criminals']]	[['entrapment', 'hascontext', 'legal'], ['legal', 'hascontext', 'us'], ['us', '_hascontext', 'catcher'], ['catcher', 'capableof', 'catch']]
1471	algorithmic trading is not fair.	Many people have done well with algorithmic trading.	counter	[['algorithmic trading', 'capable of', 'done well'], ['done well', 'has context', 'fair'], ['many people', 'part of', 'algorithmic trading']]	[['algorithmic trading', '_isa', 'algorithmic trading']]	[['trading', '_hascontext', 'job'], ['job', '_isa', 'police'], ['police', 'isa', 'people']]
800	Payday loans give you quick money if you need it, even if you don't have a good credit score	Poor people have money emergencies.	support	[['payday loans', 'used for', 'money emergencies'], ['money emergencies', 'not created by', 'good credit score'], ['good credit score', 'not part of', 'poor people']]	[['payday loans', '_usedfor', 'getting money from'], ['getting money from', 'causes', 'poor people']]	[['payday', 'isa', 'candy'], ['candy', '_isa', 'chocolate'], ['chocolate', 'hasproperty', 'good'], ['good', '_distinctfrom', 'poor']]
1631	Libertarianism increases consumer spending with lowered taxes.	Society needs more taxes and libertarianism is not efficient.	counter	[['libertarianism', 'has context', 'not efficient'], ['lowered taxes', 'has context', 'not efficient'], ['libertarians', 'desires', 'lowered taxes']]	[['libertarianism', 'hascontext', '', '_atlocation', 'party'], ['party', 'usedfor', 'lowered taxes']]	[['libertarianism', 'hascontext', 'philosophy'], ['philosophy', '_isa', 'person'], ['person', 'notdesires', 'taxes']]
1917	A judge needs to follow the law, no matter what their opinion is on a subject.	If a judge disagrees with a law, it is okay to interpret it in a new way.	counter	[['judge', 'capable of', 'disagrees with law'], ['disagrees with law', 'causes', 'interpret it'], ['interpret it', 'capable of', 'new way'], ['interpret it', 'created by', 'opinion']]	[['judge', '_capableof', 'opinion']]	[['opinion', '_isa', 'beauty'], ['beauty', '_notdesires', 'person'], ['person', 'capableof', 'judge']]
1047	Foster care gives children other parents	We can't consider foster care new parent because intentions are not known yet	counter	[['other parents', 'synonym of', 'new parent'], ['new parent', 'has property', 'intentions are known'], ['intentions are known', 'not created by', 'foster care'], ['foster care', 'has property', 'temporary and unpredictable'], ['temporary and unpredictable', 'not desires', 'consider foster care']]	[['other parents', '_motivatedbygoal', 'start family'], ['start family', 'hasprerequisite', 'consider foster care']]	[['parents', '_desires', 'person'], ['person', 'desires', 'care']]
937	People should be free to use alternative health care.	If alternative medicine is proven to be harmful then it should absolutely be restricted.	counter	[['alternative medicine', 'has property', 'side effect'], ['side effect', 'part of', 'harmful'], ['harmful', 'not receives action', 'free to use'], ['harmful', 'part of', 'alternative health care']]	[['alternative medicine', '_isa', 'alternative health care']]	[['free', '_hasproperty', 'gift'], ['gift', 'hascontext', 'medicine']]
154	local economies will benefit the most from the Olympic games' vast investment.	more traffic will be created in local economies.	counter	[['local economies', 'not desires', 'more traffic'], ['more traffic', 'created by', 'olympic games'], ['olympic games', 'not causes', 'augment roads infrastructure'], ['augment roads infrastructure', 'not part of', 'vast investment'], ['vast investment', 'has context', 'global over local'], ['global over local', 'is not a', 'benefit']]	[['local economies', '_causes', 'making better world'], ['making better world', 'usedfor', 'benefit']]	[['benefit', '_usedfor', 'improving_yourself'], ['improving_yourself', 'causes', 'happiness'], ['happiness', '_causes', 'going_to_performance'], ['going_to_performance', 'causes', 'traffic']]
255	Marriage does not mean much.	Marriage is the backbone of society.	counter	[['marriage', 'is a', 'legal union'], ['legal union', 'used for', 'people join together'], ['people join together', 'causes', 'stable families'], ['backbone of society', 'antonym of', 'not mean much'], ['stable families', 'causes', 'backbone of society']]	[['marriage', '_usedfor', 'backbone of society']]	[['marriage', '_atlocation', 'companionship'], ['companionship', '_usedfor', 'cat'], ['cat', 'hasa', 'four_legs'], ['four_legs', '_hasa', 'lizards'], ['lizards', 'hasa', 'backbone']]
66	Atheism should be adopted.	Not everyone believes in atheism.	counter	[['not everyone', 'desires', 'believes'], ['believes', 'has context', 'atheism'], ['atheism', 'not has property', 'popular'], ['popular', 'not desires', 'adopted']]	[['not everyone', 'hasa', 'parents'], ['parents', 'capableof', 'adopted']]	-1
906	telemarketing only cause disturbance to others	Telemarketing is one of the best way of advertising which is inevitable as people like it.	counter	[['telemarketing', 'not causes', 'distraction'], ['distraction', 'created by', 'advertising'], ['advertising', 'not causes', 'disturbance'], ['disturbance', 'used for', 'people']]	[['telemarketing', '_hascontext', 'people']]	[['disturbance', 'hascontext', 'psychology'], ['psychology', 'hascontext', 'person'], ['person', '_hasa', 'people']]
7	entrapment is efficient.	Entrapment catches criminals.	support	[['criminals', 'has property', 'sneaky'], ['sneaky', 'not desires', 'law enforcement'], ['law enforcement', 'capable of', 'entrapment'], ['entrapment', 'used for', 'catching criminals'], ['catching criminals', 'part of', 'efficient']]	[['criminals', 'hasproperty', 'inefficient']]	-1
1137	It is not wise to get a cosmetic procedure when you are a teenager.	Teenagers are old enough to know who they are and what they want.	counter	[['teenager', 'capable of', 'decision'], ['decision', 'used for', 'what they want'], ['what they want', 'part of', 'cosmetic procedure'], ['cosmetic procedure', 'used for', 'teenagers']]	[['teenager', '_isa', 'teenager']]	[['procedure', 'hascontext', 'medicine'], ['medicine', '_isa', 'acne_medication'], ['acne_medication', 'usedfor', 'teenagers']]
550	School prayer should be allowed.	If people want to pray in school, there is nothing wrong with that.	support	[['school prayer', 'is a', 'choice'], ['choice', 'created by', 'people'], ['people', 'capable of', 'decision'], ['decision', 'part of', 'want to pray'], ['want to pray', 'receives action', 'should be allowed']]	[['school prayer', '_usedfor', '', '_atlocation', 'churchyard'], ['churchyard', 'usedfor', 'should be allowed']]	[['prayer', 'atlocation', 'church'], ['church', '_atlocation', 'human'], ['human', 'capableof', 'write'], ['write', 'distinctfrom', 'wrong']]
582	We should avoid discussing religion in schools.	Some schools are religious in nature, and have regular discussions on the topic.	counter	[['schools', 'is a', 'religious in nature'], ['religious in nature', 'capable of', 'regular discussions'], ['regular discussions', 'not desires', 'avoid discussing']]	[['schools', '_atlocation', 'locker room'], ['locker room', 'usedfor', '', '_hasprerequisite', 'avoid discussing']]	[['religion', 'isa', 'person'], ['person', 'desires', 'study'], ['study', 'atlocation', 'schools']]
970	Telemarketers should be banned.	People often have pay-as-you-go phone plans and end up paying for telemarketing from their own pockets.	support	[['telemarketers', 'part of', 'scammers'], ['scammers', 'causes', 'paying for telemarketing'], ['paying for telemarketing', 'used for', 'individual'], ['individual', 'made of', 'people'], ['paying for telemarketing', 'receives action', 'banned']]	[['telemarketers', 'capableof', '', '_usedfor', 'advertisement'], ['advertisement', 'receivesaction', 'banned']]	-1
2116	Television focuses people's attention away from healthier activities.	People can work out while watching television.	counter	[['people', 'desires', 'healthier activities'], ['work out', 'part of', 'healthier activities'], ['work out', 'at location', 'watching television'], ['work out', 'made of', 'attention']]	[['people', 'capableof', '', '_causes', 'attending class'], ['attending class', 'hasprerequisite', 'attention']]	[['healthier', '_motivatedbygoal', 'lose_weight'], ['lose_weight', '_causesdesire', 'obesity'], ['obesity', '_causes', 'using_television'], ['using_television', 'causes', 'watching']]
2074	School prayer should be allowed because in religious communities, people want prayer to be included in their daily lives.	Religious people don't want to be told they can't pray.	support	"[['religious people', 'has context', 'want prayer'], ['religious people', 'not desires', ""can't pray""], ['religious people', 'desires', 'school prayer']]"	[['religious people', 'atlocation', 'church'], ['church', 'usedfor', 'school prayer']]	[['prayer', '_usedfor', 'temple'], ['temple', 'usedfor', 'pray'], ['pray', 'motivatedbygoal', 'religious']]
687	Loans help people with no money.	People with no money can not afford basic living.	support	[['no money', 'not capable of', 'afford basic living'], ['afford basic living', 'desires', 'money'], ['money', 'part of', 'loans'], ['loans', 'capable of', 'help people']]	[['no money', 'causesdesire', 'get job'], ['get job', 'motivatedbygoal', 'help people']]	[['people', 'atlocation', 'ground'], ['ground', '_atlocation', 'money']]
1050	Surrogacy is an act rendering help to those who cannot give birth	surrogacy is good and aids people who cannot conceive, gives them child and makes them happy this should be allowed	support	[['surrogacy', 'capable of', 'pregnancy'], ['cannot give birth', 'receives action', 'pregnancy'], ['surrogacy', 'part of', 'cannot conceive']]	[['surrogacy', 'hascontext', 'medicine'], ['medicine', 'capableof', 'kill'], ['kill', 'motivatedbygoal', 'cannot conceive']]	[['birth', '_isa', 'breech_birth'], ['breech_birth', 'isa', 'disease'], ['disease', '_isa', 'aids']]
1280	A person is allowed to state how they feel about their country.	Freedom of speech is the first amendment of the US constitution.	support	[['freedom of speech', 'receives action', 'gives people freedom'], ['gives people freedom', 'causes', 'allowed to state'], ['allowed to state', 'has context', 'their opinions'], ['their opinions', 'created by', 'how they feel'], ['how they feel', 'has context', 'about their society'], ['freedom of speech', 'is a', 'first amendment'], ['first amendment', 'part of', 'us constitution']]	[['freedom of speech', 'hascontext', 'us constitution']]	[['state', 'isa', 'war'], ['war', '_atlocation', 'killing'], ['killing', 'causes', 'freedom']]
326	factory farming should not be allowed.	Factory farming is not nice to animals.	support	[['factory farming', 'is not a', 'nice to animals'], ['factory farming', 'capable of', 'harmful'], ['harmful', 'not desires', 'be allowed']]	[['factory farming', 'isa', '', '_hascontext', 'be allowed']]	[['farming', '_causes', 'growing_vegetables'], ['growing_vegetables', '_usedfor', 'garden'], ['garden', 'hasproperty', 'nice']]
1887	Parades that celebrate cisgender beliefs are bad for society.	Practices that ostracize other people should be considered as harmful.	support	[['ostracize other people', 'capable of', 'bad for society'], ['celebrate cisgender', 'causes', 'ostracize other people'], ['celebrate cisgender', 'has context', 'bad for society'], ['celebrate cisgender', 'made of', 'parades'], ['bad for society', 'has context', 'harmful']]	[['ostracize other people', '_hassubevent', 'changing society'], ['changing society', 'causes', 'violence'], ['violence', 'hasproperty', 'harmful']]	[['cisgender', '_isa', 'cishet'], ['cishet', 'hascontext', 'lgbt'], ['lgbt', '_hascontext', 'allosexual'], ['allosexual', 'hascontext', 'canada'], ['canada', 'hascontext', 'historical'], ['historical', '_hascontext', 'ostracize']]
138	Guantanamo Bay should be shut down.	Guantanamo Bay sets a poor example.	support	[['guantanamo bay', 'used for', 'torturing criminals'], ['torturing criminals', 'is a', 'poor example'], ['poor example', 'receives action', 'shut down']]	[['guantanamo bay', '_atlocation', 'slave'], ['slave', 'capableof', 'shut down']]	[['shut', '_notdesires', 'person'], ['person', '_hasa', 'people'], ['people', 'hasproperty', 'poor']]
1341	Cosmetic surgery should not have an age requirement.	Young people with traumatic accidents may need reconstructive surgery just as much as an adult would.	support	[['any age person', 'antonym of', 'age requirement'], ['reconstructive surgery', 'part of', 'cosmetic surgery'], ['traumatic accidents', 'capable of', 'significant facial disfiguration'], ['significant facial disfiguration', 'desires', 'repairs damage'], ['repairs damage', 'created by', 'reconstructive surgery'], ['any age person', 'desires', 'repairs damage']]	[['any age person', 'capableof', 'repair damage']]	[['age', '_notdesires', 'person'], ['person', '_hasa', 'people']]
666	Breaking schools rules leads to consequences.	It is wrong to go against established guidelines.	support	[['school', 'has property', 'established guidelines'], ['established guidelines', 'part of', 'rules'], ['rules', 'not desires', 'go against'], ['go against', 'receives action', 'consequences']]	[['school', '_atlocation', 'senior'], ['senior', 'usedfor', '', '_isa', 'consequences']]	[['rules', '_hasa', 'sports'], ['sports', '_hascontext', 'murder'], ['murder', 'hasproperty', 'wrong']]
1420	it provides housing for child with no parents	child with no parents tends to benefit from it through provision of shelter	support	[['foster care', 'capable of', 'provides housing'], ['with no parents', 'desires', 'foster care'], ['foster care', 'causes', 'provision of shelter']]	[['foster care', '_usedfor', 'procreating'], ['procreating', 'hasprerequisite', 'procreation'], ['procreation', 'definedas', 'provision of shelter']]	[['child', 'isa', 'person'], ['person', 'desires', 'shelter']]
358	It isn't ethical to trick someone into committing a crime.	Innocent people wouldn't commit crimes.	counter	"[['innocent people', 'not capable of', 'commit crimes'], ['entrapment', 'has context', ""isn't ethical""], ['entrapment', 'is a', 'trick'], ['innocent people', 'not receives action', 'trick']]"	[['innocent people', 'atlocation', '', '_causes', 'committing murder'], ['committing murder', 'usedfor', 'trick']]	[['ethical', '_hasproperty', 'people']]
1055	Banning surrogacy impedes income.	Poor women really need the income surrogacy provides.	support	[['banning surrogacy', 'has subevent', 'lose money'], ['lose money', 'part of', 'impedes income'], ['poor women', 'desires', 'money'], ['banning surrogacy', 'not capable of', 'money'], ['surrogacy', 'causes', 'money']]	[['banning surrogacy', 'isa', '', '_causes', 'buying'], ['buying', 'hasprerequisite', 'money']]	-1
344	Palestinian women and children are harmed by the illegal occupation of the blockade	Provisions are kept out from blockades	support	[['blockades', 'is a', 'illegal occupation'], ['illegal occupation', 'has context', 'provisions'], ['provisions', 'has subevent', 'kept out'], ['kept out', 'has property', 'harmed'], ['harmed', 'has context', 'starvation and violence'], ['women and children', 'desires', 'humane treatment'], ['starvation and violence', 'has context', 'women and children']]	[['blockades', '_hasa', '', '_atlocation', 'women and children']]	[['blockade', 'hascontext', 'chess'], ['chess', 'isa', 'artifact'], ['artifact', '_isa', 'supply'], ['supply', '_isa', 'provisions']]
199	Austerity will hurt the economy.	Austerity will hurt the tax payers.	support	[['tax payers', 'causes', 'spend less'], ['spend less', 'causes', 'hurt the economy'], ['austerity', 'causes', 'tax increase'], ['tax increase', 'capable of', 'hurt'], ['hurt', 'has context', 'tax payers']]	[['tax payers', '_isa', 'tax payers']]	[['austerity', 'hascontext', 'economics'], ['economics', '_hascontext', 'fire'], ['fire', 'capableof', 'hurt']]
1582	Intelligence tests are ineffective.	While it is true that some people tend to fail tests, a good intelligence tests is designed to cover that ground.	counter	[['intelligence tests', 'is a', 'designed'], ['designed', 'has property', 'help people succeed'], ['help people succeed', 'is not a', 'ineffective']]	[['intelligence tests', '_usedfor', 'taking midterm'], ['taking midterm', 'hasproperty', 'ineffective']]	[['intelligence', 'distinctfrom', 'stupidity'], ['stupidity', 'atlocation', 'people']]
447	Social media ruins social life.	Social media brings people together.	counter	[['long distance', 'desires', 'connection'], ['connection', 'created by', 'social media'], ['social media', 'used for', 'brings people together'], ['brings people together', 'antonym of', 'ruins social life']]	[['long distance', 'causesdesire', 'meet people'], ['meet people', 'hassubevent', 'pisses social life']]	[['social', '_desires', 'people']]
1368	Legalizing prostitution is illegal and immoral	legalizing prostitution will bring about less satisfaction in sexual life with partner which is immoral	support	[['legalizing prostitution', 'causes', 'bring less satisfaction'], ['bring less satisfaction', 'created by', 'partner sexual life'], ['partner sexual life', 'is a', 'immoral'], ['partner sexual life', 'causes', 'sexual crimes'], ['sexual crimes', 'is a', 'illegal']]	[['legalizing prostitution', '_usedfor', 'john'], ['john', 'hasproperty', 'illegal']]	[['prostitution', '_hassubevent', 'get_money_from'], ['get_money_from', 'hasprerequisite', 'work'], ['work', 'isa', 'purposeful_action'], ['purposeful_action', '_isa', 'legal_thing'], ['legal_thing', '_isa', 'legalizing']]
697	The school uniform costs too much for low-income families.	Several families lack the necessary funds.	support	[['several families', 'not capable of', 'necessary funds'], ['school uniform', 'desires', 'necessary funds'], ['low-income families', 'part of', 'several families']]	[['several families', '_isa', 'several families']]	[['school', '_atlocation', 'entrance_hall'], ['entrance_hall', 'atlocation', 'person'], ['person', 'desires', 'enough'], ['enough', '_distinctfrom', 'lack']]
